V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_C20,2.4491,0.126,0.0364,0.189,0.0001,1.4427,0.1763,0.5924,1.2249,0.0185,2.1939,4.7824,3.7037,4.2088,0.1292,0.7884,0.0437,0.1308,0.2033,0.0178,0.0176,0.6814,0.2918,0.6719,8.5294,2.6793,0.0246,2.7673,0.1171,0.9518,0.0023,0.9888,0.5021,0.0355,0.5636,4.8068,0.3261,0.7888,0.1825,0.1807,0.1739,2.2461,0.282,0.445,0.0
CYP_C21,0.0563,0.0013,0.0345,0.1979,0.0,0.8353,0.0987,0.005,0.0114,0.0002,2.0142,5.9269,0.0278,0.0281,0.1322,0.0067,0.0005,0.0012,0.0018,0.0002,0.012,0.0069,0.0108,0.0391,0.058,0.0357,0.0167,0.039,0.0029,0.011,0.0053,0.3172,0.0111,0.01,0.0059,0.0479,0.0032,0.5454,0.0196,0.3798,0.1578,24.3855,0.0167,0.2671,0.0
CYP_C22,0.7408,0.2032,0.0422,0.3411,0.0005,4.3117,0.3036,0.3804,0.9455,0.0083,0.9269,1.32,0.3921,1.4461,0.0106,3.7751,0.0083,0.3753,2.1839,0.1998,0.0009,3.3196,1.2359,0.0611,4.3193,11.4097,6.5861,3.0332,0.0527,2.4288,0.0156,1.2455,0.5941,0.0748,0.8678,1.3539,0.4929,6.2687,0.7747,0.2058,0.3537,0.7551,0.0868,0.9424,0.0
CYP_C23,0.4136,0.0227,0.0045,0.0244,0.0,2.2224,0.0688,1.6054,0.1546,0.0025,0.444,4.1544,0.4173,127.1373,0.1456,7.9911,2.8183,0.0357,0.6656,0.0566,0.3083,0.7194,0.5378,0.291,395.4251,1.6407,0.018,0.6003,1.3809,0.7447,0.004,2.535,0.0749,0.013,2.9431,1.4143,23.0812,0.3273,0.0529,0.1267,0.0561,0.4593,0.1237,0.544,0.0
CYP_C24,0.0001,0.0,0.0038,0.0179,0.0,0.1079,0.0855,0.1964,0.1189,0.0,0.0,0.1982,0.0018,0.089,8.0164,15.1715,0.6424,0.7612,1.9894,0.1981,0.0395,3.7174,2.245,0.5588,17.9107,0.2873,0.0,0.0,0.0,0.173,0.0001,0.0501,0.0001,0.0795,0.0,0.2997,0.334,0.0136,0.0,0.2653,0.0,0.0,0.0,0.0,0.0
CYP_C25,0.7058,0.9655,0.0312,0.1644,0.0007,3.6581,0.5323,6.402,0.2046,0.0471,0.9294,0.3246,0.0936,3.1882,0.1677,36.6329,1.4399,0.2874,2.1019,0.1945,0.0223,1.9594,1.6535,0.4075,109.8347,21.7012,0.2634,13.5246,0.306,0.9246,0.0554,3.1066,0.3621,0.2188,4.5706,4.2321,5.9961,4.473,0.693,1.1786,1.5594,3.6474,2.0628,4.5009,0.0
CYP_C26,0.0034,0.0001,0.0014,0.0044,0.0,0.0203,0.0009,0.0012,0.0084,0.0,0.0004,0.1262,0.0005,0.0027,0.0002,0.0311,0.7387,0.0684,0.0198,0.0037,0.0,0.0771,0.0407,0.0054,0.2268,0.0993,0.0005,0.2964,0.0008,1.4151,0.0026,0.0194,0.0683,0.1772,0.2755,0.7913,0.0046,0.1066,0.0181,0.6381,0.05,0.3319,0.0753,0.0119,0.0
CYP_C27,0.0296,0.0348,0.002,0.01,0.0,0.0957,0.0115,0.054,0.0189,0.0014,0.0123,0.0143,0.0074,0.0593,0.0046,0.433,0.0137,0.4379,0.1151,0.0209,0.0005,0.0708,5.4718,0.017,4.5558,0.4926,0.0103,0.5954,0.0219,0.0564,0.0005,0.1169,0.0319,0.0096,0.1493,0.1424,1.5939,0.1622,0.024,0.0343,0.0647,0.2015,0.0718,0.2526,0.0
CYP_C28,0.756,0.0339,0.0517,0.2878,0.0002,0.4311,0.0385,0.3435,0.1332,0.0077,0.1248,0.0901,0.1116,1.9471,0.0766,0.5153,0.0207,0.0067,0.9786,0.0113,0.032,0.306,0.1267,0.5727,11.9758,0.6766,0.0255,0.7355,0.2468,0.3497,0.0629,1.4561,0.1399,0.034,0.7085,2.2941,0.0998,0.3276,0.0485,6.7217,0.1649,0.2112,0.1306,0.2656,0.0
CYP_C29,0.012,0.0014,0.0007,0.0053,0.0,0.0289,0.004,0.0105,0.0098,0.0,0.0089,0.0043,0.0076,0.0903,0.0016,0.0225,0.0005,0.0014,0.0071,0.1098,0.0004,0.0178,0.0141,0.0098,0.1187,0.1655,0.1911,1.7762,0.6272,0.2187,0.0036,0.0104,0.0057,0.0118,0.0162,0.0618,0.0072,0.0377,0.0101,0.0417,0.0198,0.0125,0.0089,0.0146,0.0
CYP_C30,0.0,0.0,0.0003,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0023,0.0,0.014,0.0,0.0329,0.0,0.8301,0.011,0.0165,0.0,0.0156,0.0,0.0,0.0,0.4527,0.0,0.0008,0.0001,0.1056,0.0,0.0007,0.0,0.0046,0.0
