V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_C30,0.0,10.6146,0.0175,0.0,0.0,2.5965,0.0,0.0664,0.0,0.0264,0.0,0.0,0.0,0.0017,0.0,0.2585,0.0048,0.0237,0.0802,2.4351,2.1547,0.0,0.0,0.0,0.0,0.9653,2.5213,0.431,8.4941,0.146,0.0381,0.0,0.0,0.2477,0.0024,0.0644,0.0,0.0441,1.1464,0.6654,0.0,0.0,0.1565,0.0406,0.0
PER_C31T33,4.6106,15.1829,18.8184,33.9664,3.3687,77.9171,51.5028,1.9404,6.3918,0.4757,6.0913,2.0103,2.5973,6.0944,0.5022,7.3954,1.4861,0.5754,34.0102,0.2644,0.1109,344.7948,2.2134,1.7556,37.0047,9.2062,0.0155,0.0,0.0007,2.1271,0.0001,34.3347,2.5401,10.5305,0.7467,26.8632,0.5,2.2564,18.9543,46.3357,44.7552,79.6961,10.5668,29.0351,0.0
PER_D,8.957,1.3114,5.8297,235.766,0.1447,133.6703,99.7232,5.5539,30.3249,5.7688,26.7721,3.7731,26.2559,27.5063,5.1197,7.3047,0.5126,0.4861,2.8381,1.3806,0.5185,4.436,153.9629,11.5086,4.2194,80.5023,15.5794,0.0861,0.494,1.6973,0.3722,44.6924,5.8985,16.9574,1.5975,18.496,4.2204,16.1153,11.4003,35.5024,31.0822,22.4658,17.6999,13.3381,0.0
PER_E,3.3422,4.4417,7.0004,19.1054,0.2436,24.1004,10.8643,0.3875,10.1442,1.285,3.0269,0.9441,4.874,1.9285,3.531,0.32,0.0,0.0437,0.8735,0.0314,0.0221,0.7536,1.8545,8.0885,2.9498,10.0157,2.3185,0.0523,0.5061,2.1118,0.1328,15.7383,0.0837,0.8529,0.0,7.9701,1.0151,3.5882,3.3474,48.8448,16.7706,13.0071,2.9179,1.8559,0.0
PER_F,2.204,0.2049,15.9905,56.6113,1.2423,5.9201,3.1258,1.3056,0.9937,4.0581,2.6664,0.8362,0.8079,0.3796,0.2894,0.5429,0.1133,0.0505,0.5375,0.4577,0.247,0.3574,0.5164,32.7018,222.5728,10.3153,0.9542,0.2216,1.9182,0.6989,0.0678,3.7301,2.3204,36.2691,0.6214,22.1057,102.3163,3.8543,2.38,132.7744,2.2309,15.0784,3.2281,7.9623,0.0
PER_G,302.3022,41.3981,39.193,278.8278,9.0847,1234.3177,366.1037,72.6815,131.4861,120.1219,145.4341,38.8066,139.8947,48.9075,77.1542,103.3798,6.49,38.3508,36.6342,20.6905,7.277,119.4493,38.6919,13.9023,456.0242,89.6034,527.1666,3.3724,22.5664,46.0232,5.6936,330.0174,22.1653,34.0941,1.73,23.7634,22.186,44.0593,56.8475,171.2862,54.7014,68.3414,14.4579,61.542,0.0
PER_H49,17.5455,5.0134,124.2553,136.6497,3.147,116.8998,37.0349,50.3787,45.0167,47.0893,27.7081,9.8806,9.0805,9.844,6.7104,14.5043,0.6848,3.7793,3.4654,2.2604,0.8757,17.4114,27.8596,11.396,109.0186,1414.1257,565.5414,44.3539,218.8037,271.9921,16.9906,46.726,7.5276,13.8824,1.5822,17.8241,2.4008,14.3889,35.0046,74.3288,30.6573,17.3212,9.1185,34.7229,0.0
PER_H50,0.871,1.4553,37.5533,9.8749,0.0532,4.1322,1.5235,2.5451,1.7309,12.8973,0.3531,0.0228,0.0988,0.2857,0.22,0.347,0.0108,0.2795,0.0334,0.0224,0.0071,0.1151,0.0456,0.0114,0.7053,10.1547,0.1193,13.6031,0.0107,51.3493,0.0012,0.1415,0.1075,0.0441,0.0028,0.0215,0.0313,0.0457,0.1915,0.0846,0.0559,0.0547,0.0118,0.0501,0.0
PER_H51,2.1949,0.4546,22.7371,9.1946,1.2333,25.4978,9.4127,0.9877,2.3874,8.5607,2.4774,0.5997,2.3433,3.087,0.8767,1.9259,0.656,0.6373,1.6068,0.5389,0.2152,7.6201,1.8803,0.6204,8.2584,16.9282,1.7997,0.0185,32.8327,23.0672,4.2524,7.0717,2.4062,2.6816,1.3559,6.3798,0.7691,8.6436,8.9744,37.6195,4.614,5.5918,3.0014,8.9804,0.0
PER_H52,3.1347,2.4919,70.2914,42.1477,1.2769,26.0738,8.7936,20.2201,18.1809,25.0929,9.4429,1.7315,1.8356,2.3948,1.602,4.3256,0.2223,1.2277,0.6508,0.3407,0.1252,6.527,1.086,5.0212,29.9509,649.8666,239.784,27.3869,111.0602,155.2494,4.4882,13.2186,1.7248,4.4045,0.3233,2.9843,0.6238,3.7835,12.3153,18.6838,6.8849,3.7342,2.1508,7.2047,0.0
PER_H53,0.0,0.0206,0.0,1.5612,0.3133,2.7519,1.664,0.0107,0.0872,0.0,0.3183,0.1438,0.3401,0.297,0.0242,0.2434,0.0305,0.021,0.1447,0.03,0.0142,0.0609,0.473,0.5737,0.4646,27.6592,0.0,0.0,0.0,18.1088,11.5995,1.6723,4.6829,20.0796,1.32,32.0093,0.7908,11.3024,4.134,6.5351,9.1998,1.6095,0.7527,6.0073,0.0
PER_I,0.0523,0.4724,8.045,8.272,2.7277,5.2675,0.7721,0.1264,0.2909,1.7032,3.2403,2.1996,2.1233,0.3722,0.0529,1.3591,0.0888,0.0535,0.381,0.1844,0.1166,0.8079,3.9255,1.724,5.5301,45.3645,25.874,0.5009,7.1246,1.0733,2.8549,5.4804,3.4061,25.0659,2.4788,12.5195,0.2385,25.638,10.9525,85.9872,10.0404,19.7931,17.4626,13.5463,0.0
