V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_C30,0.0506,92.7107,177.244,0.0406,0.098,0.1835,0.0329,0.0404,0.0548,0.0261,0.0879,0.014,0.047,0.0296,0.0984,0.4612,0.4481,0.022,14.0834,0.4866,830.7748,211.0482,0.1526,0.536,0.6605,1.0768,6.1981,857.2127,76.5324,4.4873,0.0025,0.042,0.1099,0.071,0.036,0.0,0.2252,0.9234,7.1352,69.2108,0.1443,2.136,0.0547,3.2984,0.0
NOR_C31T33,12.7978,36.4248,368.0895,31.9412,31.6048,119.4635,9.5632,51.3206,50.9941,12.9888,36.1756,2.6361,10.2244,68.0414,47.8607,67.5717,47.5826,22.0842,141.5082,11.3752,221.8449,198.5143,13.3721,23.3571,222.0558,160.3491,100.7975,233.5675,50.8727,63.0238,7.8204,14.5305,18.6834,82.0517,11.0122,54.5265,53.9413,43.6584,46.7175,33.3653,13.2382,65.3297,69.5571,32.1708,0.0
NOR_D,91.174,12.9388,88.9858,24.4485,86.1304,174.5379,10.0802,44.0415,208.7261,89.483,181.6182,8.2655,18.3136,48.3345,726.518,48.4511,11.3785,13.5193,64.4074,16.5126,55.4921,65.8857,295.289,37.3713,115.0723,712.0036,34.3291,30.9965,10.2838,32.934,8.8511,134.0264,36.7929,50.1517,14.151,76.0881,111.2525,57.953,33.332,265.6413,217.5356,194.0416,153.3252,137.6207,0.0
NOR_E,2.0927,3.0511,16.5238,1.3131,19.0564,28.5638,2.039,4.1663,51.864,8.975,9.1238,1.6302,2.7138,8.0784,149.7048,83.5338,4.5259,3.104,7.3945,1.6806,10.3588,17.3033,20.1701,278.0422,180.6219,559.5018,10.6093,12.4672,5.4243,17.3907,1.0977,69.2215,18.899,22.6259,40.4049,20.3709,338.1013,181.0422,39.8549,108.1198,62.7081,78.4974,9.5399,9.3353,0.0
NOR_F,153.8168,31.5537,28.0101,19.42,76.9448,56.4639,2.0308,11.0328,25.2837,102.7148,18.8113,3.3845,2.4996,29.6784,23.3612,10.7815,3.5102,4.2199,19.0955,1.4917,17.704,15.4787,128.3779,194.1323,6159.6434,562.9828,17.8764,10.8848,19.2582,225.3479,2.7589,101.2818,14.0383,678.5542,11.0836,43.92,2350.464,46.2854,28.2423,2259.8388,188.8306,331.2614,175.8931,43.2911,0.0
NOR_G,315.7851,264.1158,499.5265,52.9958,166.0949,2073.7071,111.6581,242.5826,298.5439,374.8841,444.5876,30.0086,92.8761,181.3967,355.3797,204.5912,245.6226,154.6757,377.1339,59.096,442.7939,370.892,139.6603,151.9906,2078.395,1594.032,1130.6083,645.2072,128.4357,260.0876,113.183,397.8265,267.0022,278.6506,60.0296,166.8816,430.524,524.5357,427.7996,446.4249,221.7064,696.8938,199.4376,198.7926,0.0
NOR_H49,30.4564,28.9693,68.2129,27.0062,129.5524,250.4252,11.6612,50.7541,70.9706,53.9388,77.3681,8.9777,16.1394,60.7454,102.1358,34.933,27.0781,22.4452,50.8244,10.3038,66.3091,70.5655,9.9971,17.1287,369.5627,472.8803,425.7803,67.4944,18.575,644.5184,42.4065,33.1114,74.2248,58.4411,17.4701,24.2777,59.1251,82.512,500.8355,144.0774,153.9292,147.349,16.9472,23.1719,0.0
NOR_H50,12.5139,19.0092,136.2616,10.5477,29.558,89.4091,5.6317,19.6158,28.6606,18.6734,33.5919,4.1248,7.839,21.4958,48.9277,19.3033,16.873,12.6995,28.5514,6.6161,42.1593,37.8222,7.3185,10.9155,128.7696,176.6143,94.583,806.3131,7.7309,120.9942,8.6241,19.777,29.2959,29.9405,15.3732,26.0771,43.2028,63.4081,66.5795,64.9643,20.1462,43.3351,10.8618,13.2965,0.0
NOR_H51,6.3455,4.5833,75.0655,7.1554,8.9832,60.3202,3.6807,12.9237,22.8189,37.6152,28.7873,7.2485,4.5058,17.5438,25.716,13.8527,15.0459,9.1672,21.9887,4.6159,42.4335,24.0584,5.2806,5.5568,83.1534,142.8162,14.3962,23.0204,112.1809,62.225,26.8137,9.0856,44.4216,11.3102,35.2995,41.5073,72.3334,114.3977,209.7343,118.4945,48.3064,69.4472,28.3528,15.8528,0.0
NOR_H52,18.6581,8.0805,22.4441,11.6342,35.6563,89.4302,4.16,18.1655,24.9164,15.938,23.5232,3.0194,5.5309,22.0621,33.807,12.6992,8.1291,7.2437,16.8701,5.6854,19.0714,20.1592,19.427,22.2836,224.1277,362.3971,426.4251,2044.5906,384.3817,93.966,27.3358,21.3589,28.9259,35.2059,9.4373,32.6441,69.4718,50.6565,75.8701,82.9886,18.3665,66.1249,8.3726,14.7653,0.0
NOR_H53,4.4303,4.1792,9.0992,4.5232,6.1902,24.975,2.1333,9.0533,14.4865,25.5321,18.0878,5.7412,3.4605,14.5799,9.7763,11.4912,9.4042,6.4604,15.6344,3.1213,25.8755,16.5263,14.3287,11.0538,70.1056,214.1965,11.4893,10.2916,19.9854,68.7315,241.7552,5.8662,239.1927,228.8998,49.6721,336.0118,36.0144,101.7445,38.8814,70.9481,43.0207,63.3812,65.2304,27.3494,0.0
NOR_I,3.2057,2.9827,128.9978,11.2179,16.096,83.9643,6.7278,16.4845,36.3432,68.3633,51.696,13.7253,6.9152,29.3451,29.5949,22.9411,27.8863,16.1696,34.8344,7.4668,85.1636,54.3317,23.5596,27.2313,142.8246,554.9289,10.9769,75.6694,122.7836,160.5239,4.5378,21.7386,98.0902,193.6771,79.9218,108.6836,151.651,232.6477,372.654,280.7025,81.0183,175.7352,60.9574,28.567,0.0
NOR_J58T60,5.0379,3.9992,53.4021,5.3629,10.7217,35.4663,3.1676,8.6927,16.4036,10.0087,47.2853,1.8918,3.8748,12.1343,11.3731,13.6611,12.2958,6.0376,16.5325,3.4334,34.613,18.7833,36.3425,28.6295,130.4878,1347.5061,33.0964,63.4626,8.9525,100.2078,5.0353,43.8446,373.1297,181.8046,65.6769,50.6896,195.8793,520.6123,145.9417,193.3657,322.1322,162.2619,91.1422,198.6592,0.0
