V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_C20,233.7774,0.8388,0.0648,12.2059,0.045,51.0608,54.3846,3.3374,15.4832,0.7943,264.5019,17.1174,131.087,36.3233,6.5577,11.2495,9.7129,33.3842,1.9285,12.2355,0.7277,11.8556,7.2698,3.1734,159.9033,45.5172,1.3858,0.4809,0.4939,0.9035,0.005,4.6273,8.393,0.0241,0.9359,0.0,2.9722,5.6539,18.465,11.8254,9.9823,11.0892,2.9478,19.2516,0.0
MAR_C21,38.4961,0.4196,0.0066,1.0843,0.0007,10.0916,3.7716,0.3803,1.2627,0.0876,20.6243,56.4679,9.8596,3.4937,0.188,1.2809,1.134,2.0988,0.2489,1.6975,0.0084,1.4255,1.2676,0.4509,17.2283,9.8275,0.2556,0.1722,0.2151,0.195,0.0017,0.9741,0.8482,0.0078,0.309,0.0,0.3533,2.1144,1.7445,8.2305,11.3642,25.3271,0.9065,4.4746,0.0
MAR_C22,24.7904,3.2712,0.0855,14.7531,0.0253,118.5487,22.4104,0.4254,2.3676,0.1845,21.1043,3.2574,13.4309,5.0355,2.1967,16.6134,0.7171,69.6773,1.3516,9.9106,2.6439,4.5394,0.8655,0.3377,63.7987,172.7937,4.5394,0.2663,0.6751,0.9315,0.0064,1.0361,0.2944,0.0331,0.2725,0.0007,0.3469,0.7172,1.9725,18.2665,0.1993,0.1282,0.0308,0.227,0.0
MAR_C23,0.5179,0.0555,0.0255,4.8237,0.0413,9.909,1.8349,1.5521,0.9267,0.0508,16.3969,1.9849,3.133,115.7812,5.86,8.2225,3.0705,2.3602,0.9297,8.546,0.2847,1.2011,0.1009,0.103,1466.4717,14.1697,0.1742,0.0329,0.0545,0.0822,0.0466,2.1681,0.4162,0.3118,0.1611,0.1337,0.7416,0.4083,0.6987,5.7134,0.1126,0.1207,0.1162,0.6778,0.0
MAR_C24,0.0,1.7771,0.0145,1.3384,0.0454,3.4637,0.7246,0.6443,1.8134,0.0379,2.5656,0.1576,1.1747,4.9019,108.9212,138.1587,2.8924,60.9741,12.7391,64.731,7.0052,13.0368,0.4285,0.3225,306.1463,49.3964,0.0144,0.0085,0.0081,0.008,0.0,0.0,0.2159,0.0,0.0038,0.0,0.0164,0.0253,0.0235,0.0,0.1634,0.147,0.0641,0.5036,0.0
MAR_C25,1.1783,1.4141,0.3042,39.3733,0.0457,88.3262,1.8607,4.4978,0.9389,0.2457,16.3619,1.5863,1.2038,6.9565,33.8586,9.9221,0.6016,9.3903,3.3775,108.8204,2.7101,9.6458,2.4675,0.5122,225.8512,8.5653,1.0333,0.3637,0.3982,0.5842,0.3809,0.6971,0.572,2.8591,0.3284,0.0068,0.3782,0.5662,1.3811,2.8978,0.1726,0.0843,0.355,2.535,0.0
MAR_C26,0.1904,0.0299,0.0001,0.0293,0.0015,0.7564,0.1199,0.01,1.4231,0.0128,0.1594,0.0331,0.1014,0.5092,0.2175,0.062,62.4194,0.1601,0.1132,0.1024,0.1282,0.389,0.1591,0.0364,1.4234,0.8308,0.0778,0.0217,0.0507,0.0482,0.1828,0.0338,0.3799,6.7668,0.1966,0.0893,0.03,0.2141,0.3631,7.969,1.3002,0.8386,0.0065,0.0585,0.0
MAR_C27,0.0448,0.2114,0.0156,2.0138,0.0058,8.3234,0.3256,0.1376,0.1227,0.1868,7.9559,1.0767,0.787,5.8905,2.9062,3.9189,14.2275,45.0621,0.3926,10.5995,1.0162,1.6259,2.0468,0.2754,55.1083,3.2717,1.577,0.3832,0.513,0.6965,0.1624,0.727,0.2496,5.2133,0.5951,0.0021,0.3787,0.7195,1.6908,0.3276,2.9992,1.376,0.0689,0.6183,0.0
MAR_C28,5.0671,0.2831,0.009,1.3539,0.0131,3.0551,0.7608,0.1584,0.1265,0.4912,0.3752,0.0422,0.0828,1.7226,10.0463,1.3137,0.1977,1.2618,3.2091,2.0092,0.281,1.45,0.2889,0.0691,13.8217,0.5798,0.0918,0.0318,0.047,0.0514,0.1074,0.1021,0.0333,0.6002,0.0379,0.0114,0.0575,0.0729,0.1962,7.677,0.21,0.1076,0.0137,0.0848,0.0
MAR_C29,0.7541,0.5524,0.0052,0.7929,0.0183,2.2127,7.1849,0.034,0.0348,0.0889,1.3437,0.1892,0.2804,5.7116,1.4738,11.8982,1.5288,5.0703,0.5377,991.6887,1.7204,9.1856,0.7209,0.2462,4.9744,109.6003,26.4076,0.9377,3.2541,4.2728,6.0694,0.3012,0.0403,20.2021,0.2256,0.1537,0.6514,0.3537,1.4528,17.8326,3.0201,1.9094,0.0155,0.0949,0.0
