V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_C20,100.3479,2.323,1.6022,0.249,0.0976,39.8581,192.6912,10.4951,51.0972,111.4332,455.5475,39.0666,207.3482,47.0715,23.3791,14.5889,15.11,23.8775,10.9768,15.648,3.7053,32.1855,3.8817,4.5703,119.6409,12.2389,4.784,0.9704,1.1808,1.4655,0.2826,5.8177,7.512,1.5594,0.5446,1.0462,3.4043,5.4407,3.9216,8.9324,4.151,42.833,2.23,20.9868,0
BGD_C21,5.8165,0.3208,0.0861,0.0196,0.0044,5.3654,9.4633,0.1903,0.8822,1.949,13.7935,55.2952,2.4606,0.7806,1.3931,0.2914,0.4957,0.3973,0.4568,0.4155,0.2348,0.8776,0.136,0.2738,3.0112,1.1422,0.3485,0.0968,0.1384,0.12,0.0314,0.6329,0.3068,0.2445,0.0589,0.1669,0.1485,1.2093,0.2179,2.3607,0.6387,60.4603,0.2912,1.2267,0
BGD_C22,10.3146,2.5801,0.7227,0.0885,0.052,63.4129,108.6012,3.8203,15.8224,9.8147,33.0243,6.7283,98.9224,14.524,5.513,9.9779,16.3858,24.5881,16.0205,46.5724,5.0704,32.6985,1.2757,2.4446,202.1724,22.4346,17.6694,0.4698,1.1528,1.8984,0.5935,4.0476,2.7463,2.6557,0.3634,0.7959,2.2969,2.9939,2.1096,4.3287,1.1715,6.6769,1.0291,13.6103,0
BGD_C23,4.6827,0.3766,0.3825,0.1191,0.0561,20.6362,9.9118,2.3476,1.3694,3.8368,9.2384,2.6604,5.6596,148.3513,10.0085,4.9326,5.6683,5.9962,3.5544,9.2325,1.2013,7.1055,1.3974,0.9647,832.6995,4.064,1.7252,0.2653,0.3435,0.5849,0.0799,3.0033,0.4967,1.0496,0.1086,0.3629,5.0517,1.1337,0.5504,2.7106,0.9219,2.7101,0.5695,3.6364,0
BGD_C24,1.527,0.2469,1.7954,0.0649,0.1554,6.4979,8.9157,1.8225,2.9218,5.3956,13.7477,0.9373,10.9906,21.9881,558.7361,211.2491,36.5901,134.2932,100.7809,108.1441,22.2944,59.9129,2.7185,7.8258,354.2875,4.8592,2.4994,0.171,0.1986,0.7232,0.0315,0.3772,0.5206,0.7832,0.0708,0.1252,1.0498,1.159,0.4027,1.232,0.2996,0.8109,0.1684,4.5411,0
BGD_C25,6.1744,1.3587,1.3501,0.0836,0.0783,20.4893,27.6936,3.4478,3.0084,8.8648,8.7238,1.2412,7.2663,10.6136,23.2699,56.4293,10.787,19.4115,33.69,33.116,8.3981,22.9878,2.7707,1.6371,293.9896,6.6511,2.7375,0.5583,0.6909,1.1444,0.1376,1.8481,0.8241,2.2147,0.2333,0.4195,1.7685,1.8114,1.0383,4.5384,0.9349,1.7899,0.6039,6.8335,0
BGD_C26,0.9071,0.2915,0.1648,0.0115,0.0121,2.3669,5.9775,0.2343,0.9392,2.0076,1.6682,0.4677,0.9879,1.2739,1.0941,1.313,76.5734,12.2413,4.7358,5.5127,1.7433,5.515,1.0989,0.3463,20.7591,3.5789,1.3064,0.2119,0.5589,0.5061,0.2649,0.7987,1.8037,15.2417,1.6196,1.0852,0.4409,2.5156,0.7878,4.5061,1.4964,9.2268,0.6975,12.7079,0
BGD_C27,1.5269,0.4911,0.2845,0.0258,0.019,3.382,8.3629,0.4045,1.1644,3.9881,2.2989,0.4234,1.8912,2.5415,4.038,3.9312,26.1138,77.209,15.1644,19.1359,3.9775,10.1651,7.6572,0.6585,129.4137,5.0846,3.1568,0.3925,0.5358,0.8563,0.216,1.3723,0.955,7.6474,0.4891,0.6359,1.185,1.5606,0.8161,2.7881,0.8839,2.1813,0.774,12.5889,0
BGD_C28,6.9312,0.993,1.7121,0.1178,0.0685,7.5857,18.1701,1.0099,3.4472,7.4682,4.5122,0.7735,3.303,6.5454,6.1467,5.6436,4.8412,7.1145,34.488,15.7175,4.1992,12.36,2.7859,0.9007,64.6694,4.3893,2.6234,0.6006,1.08,0.8729,0.1395,1.1719,0.7606,1.7571,0.1946,0.342,0.6934,1.0107,0.9081,5.7006,0.542,1.4649,0.4425,5.0438,0
BGD_C29,1.7586,0.2648,0.1763,0.0202,0.0117,2.4798,5.315,0.3021,0.6201,1.2089,1.3179,0.2271,1.5228,1.6875,6.4886,2.5686,1.9754,3.6609,4.634,151.5298,1.9193,4.9581,0.4634,0.7416,12.6826,13.3106,11.8988,0.2071,0.4041,0.8933,0.2061,0.485,0.278,0.9072,0.1169,0.2263,0.3244,0.5739,0.7653,1.9413,0.2859,0.6269,0.2259,3.2961,0
BGD_C30,0.1102,2.4583,0.0346,0.0021,0.0012,0.1803,0.3704,0.0229,0.0464,0.1154,0.0804,0.0205,0.0732,0.1,0.1282,0.1443,0.2059,0.2399,0.3198,1.3266,21.8527,1.3037,0.049,0.0285,1.3899,0.3861,2.7881,4.8139,4.1968,0.2891,0.0234,0.0516,0.0291,0.0721,0.0098,0.0185,0.034,0.0646,0.1192,4.3962,0.028,0.1156,0.0399,0.5854,0
BGD_C31T33,9.5961,3.7584,1.8285,0.1286,0.117,16.3822,93.1963,4.0072,6.9884,17.0896,8.7942,2.2036,5.49,14.5232,7.448,5.6583,7.1061,7.6075,7.0547,10.4407,4.4898,63.4046,7.139,2.5913,81.4239,11.8567,11.4482,2.636,9.0921,2.8844,0.612,7.2379,2.9003,9.6183,0.8694,2.9232,3.2853,4.5063,3.4894,10.7496,5.9199,17.2062,4.6146,12.7956,0
