V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_K,1137.2626,58.829,372.6228,6.8242,2.7328,1653.5002,1608.6334,335.3287,482.6918,704.7309,788.6811,185.4419,571.6471,744.3078,1182.6906,2321.3677,529.9142,1095.6925,2413.4032,772.0534,297.1093,1118.6761,995.9289,1004.5462,6854.5354,8151.9666,2171.1004,191.9309,209.1499,504.1236,104.0598,1133.3047,480.4541,1227.2752,1059.0159,31619.4503,13488.5083,3848.456,2699.0519,5764.2715,806.0266,1409.1538,520.2191,769.3469,0.0
ITA_L,79.1464,4.4491,42.9862,6.365,0.4547,1015.8812,1614.9065,315.4817,521.1927,101.6486,321.6562,88.4289,487.5177,547.0049,216.0611,1331.7617,348.555,528.2952,1130.3921,196.357,120.458,1029.0841,608.2897,355.9691,4211.0246,12113.6304,829.9084,50.6998,72.5908,859.9858,85.0349,3704.943,995.7438,1102.4348,1308.9277,3015.5693,2356.0819,4518.4284,2634.5252,1342.8969,6175.5134,3089.1545,1725.0465,1495.4985,0.0
ITA_M,354.3498,4.9787,625.3763,17.8915,7.6274,3726.7477,3954.9592,441.7644,1441.6206,383.05,2013.7346,816.7154,2104.2731,2408.0179,1971.3052,3985.6432,1086.9977,2212.4034,5356.9819,2196.4808,849.2782,2925.5888,1155.0658,2538.4152,14898.0299,25471.8858,1868.3988,196.1427,493.2935,1849.2594,62.6318,2058.4727,2373.8584,2675.0856,4412.8709,3064.5828,4934.3685,21451.0125,9685.7176,4746.4775,848.0929,4190.3457,1821.4239,2515.7983,0.0
ITA_N,167.0292,2.0708,303.8372,12.7338,4.7714,1905.7208,1880.0809,296.4804,988.9906,237.7067,850.5293,259.5792,807.0523,1240.4657,887.2291,2228.9166,518.8474,990.4401,2493.6032,831.4456,321.8381,1349.3087,518.1336,910.003,6208.2027,12669.97,1689.7101,1392.2863,1409.6693,2772.8895,51.7069,1174.3547,1736.655,1682.4276,2406.9027,1518.7895,3299.8648,6585.0682,9861.3282,3184.1778,658.5519,3445.2668,1480.103,1752.3212,0.0
ITA_O,13.0462,0.2484,3.1952,0.1215,0.233,101.4748,32.6669,1.9835,22.8405,35.3539,31.6447,25.007,20.9961,33.7778,15.0628,20.6365,12.7191,29.1251,19.9985,16.431,18.0942,14.3625,23.3243,17.6833,34.9129,88.5054,10.9961,5.3321,2.8616,12.0467,7.6155,18.9025,23.385,22.2978,25.0013,39.8871,42.1069,53.6964,43.774,12.2195,68.6788,59.6934,15.6531,21.7022,0.0
ITA_P,16.8359,0.0073,18.5176,0.2547,0.0632,156.2627,72.2585,10.6619,21.4098,12.2786,60.2015,28.7455,82.9908,31.6864,43.4541,86.388,65.9475,153.1687,169.5344,111.3362,54.4632,89.4906,127.8219,30.3609,964.6283,625.8563,137.0679,17.9295,197.5566,58.0945,13.1486,58.9316,54.0373,491.4263,466.363,265.7806,37.9266,626.6165,287.7642,132.8232,2900.465,54.2738,132.0865,57.0392,0.0
ITA_Q,22.8069,0.0399,5.9998,0.077,0.0872,25.0804,17.8242,3.6196,4.7491,3.8801,8.3296,3.6492,12.2105,8.7071,7.3244,25.8747,4.0816,16.2061,40.4125,10.9421,6.3318,20.1508,7.3547,9.8066,116.7052,89.8061,7.0596,1.6032,2.3372,12.5061,1.0149,18.6302,10.0373,24.0937,15.9582,24.5893,3.8305,57.7164,31.3441,98.81,296.3841,10392.7048,8.4876,34.7761,0.0
ITA_R,17.0304,0.1619,23.155,0.9712,0.1023,537.5551,313.7112,24.0541,217.0319,79.5643,99.6959,84.2321,192.4671,136.5312,18.5558,126.6134,22.8347,172.6973,135.4722,67.1727,21.7323,77.9203,43.5462,42.2678,582.2798,1304.1833,35.5103,21.1065,8.7927,57.3668,2.9666,77.559,2657.1904,156.2301,90.6956,77.0464,58.2786,712.6026,351.2013,908.4968,61.4522,52.0423,4168.6748,97.3681,0.0
ITA_S,167.6749,2.7876,23.9657,0.788,0.2318,351.7846,221.0188,57.6264,79.2801,68.541,107.8703,29.0185,86.7264,98.2273,89.1442,245.2174,67.7552,116.9004,230.7431,58.1384,52.5167,136.9923,152.1028,93.1017,1656.7743,820.1406,105.9786,14.74,8.93,307.3121,8.1587,190.3577,130.9045,143.26,101.4434,207.9694,87.6607,400.3778,257.5245,842.5103,35.3742,705.4138,80.2688,417.7148,0.0
ITA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
