V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_C31T33,3492.1902,1.5076,1.505,137.0262,0.8277,299.0418,20.6858,15.4331,47.6364,85.7656,260.3379,38.2189,35.5934,68.5236,162.8659,580.8661,428.7553,154.0067,758.0032,1865.4876,3217.4679,8004.8746,72.0195,110.2224,2589.5771,2960.758,174.1972,39.6779,474.348,510.4784,24.6747,75.9415,67.3364,303.7683,55.3212,135.184,13.6176,696.0543,366.7135,1578.13,36.4254,1997.5079,313.2966,126.975,0.0
FRA_D,1270.351,29.9655,0.6115,112.9855,0.6964,2824.2653,156.2904,58.8786,1249.2166,652.3218,3025.6677,303.5859,294.8794,1162.2967,2459.5431,593.5365,323.4514,186.0049,285.4356,546.4164,139.2023,190.9775,41614.1121,497.5407,293.9513,3756.1694,1337.5342,7.4749,19.3403,401.8999,55.5855,1281.1759,1580.3594,1004.6898,211.5702,484.705,631.9409,1650.2951,405.6752,1434.0153,1179.3693,1434.5891,1163.9338,268.0917,0.0
FRA_E,442.1463,19.2437,1.4099,22.1675,0.1063,1099.0607,155.7254,39.1103,533.3021,383.9316,561.1092,185.5764,111.0378,359.041,2510.3533,416.8896,129.6998,88.2556,180.7279,273.7718,58.1894,248.5309,467.8454,6673.1639,1347.2318,1986.352,92.1092,73.3359,69.1448,221.7782,63.1476,426.2829,490.719,260.1347,356.4742,253.7762,973.2965,1784.3703,1068.4619,2737.8252,715.4745,1016.8887,335.2527,134.9496,0.0
FRA_F,440.8531,12.9156,4.879,46.8508,0.5187,182.6802,52.3588,8.7958,63.3865,308.0516,114.7521,32.8987,70.4615,72.4943,148.5338,224.1874,113.4819,83.1621,559.5758,168.9439,175.4318,267.9032,1435.1398,469.6898,53092.5326,659.4843,122.7218,167.1775,84.0873,289.2154,36.74,107.6358,650.1521,639.4959,167.2099,1606.5447,4921.4735,2347.4421,1214.4531,4447.8715,1668.2695,1205.9756,1423.2831,140.175,0.0
FRA_G,8973.3632,210.1928,2.0073,372.6031,1.3492,22738.8571,3678.4751,698.6328,1984.6027,1913.8481,6263.2273,2160.5449,2581.8888,2016.6626,1694.8089,3100.6796,2039.6677,1505.271,2873.0372,5970.8197,3170.8874,4882.6062,3992.3155,986.428,13753.6111,21417.7794,3027.5209,671.4694,1168.0599,1197.9427,151.2791,10046.6024,2784.8058,1218.5806,1068.3656,1535.1364,1287.9776,5157.7703,3133.3506,2356.0442,1912.6934,6181.6515,2119.8355,1108.3096,0.0
FRA_H49,1088.6078,27.5902,0.7833,53.7792,0.5809,2644.3138,275.2866,105.8138,266.0728,670.7885,920.3346,210.4375,325.3248,351.4831,333.3389,474.6865,259.6667,193.5352,388.5708,742.855,463.7242,614.8138,722.4538,227.4007,2250.0523,12571.0479,7379.6942,86.0158,152.9127,487.3976,36.3669,962.3541,579.6857,244.488,141.7585,255.9658,140.821,979.9352,465.1709,1806.4148,1062.6037,1138.0407,327.9242,329.5053,0.0
FRA_H50,7.9434,0.2568,0.0038,0.4257,0.0046,16.5993,4.6137,0.5044,2.85,21.074,8.9786,2.0066,3.7397,2.1466,3.9995,5.6263,3.4746,2.8207,4.8824,10.1593,11.0772,7.3146,13.025,1.428,19.0296,14.3317,2.61,25.8476,1.5575,8.3605,0.2195,6.2117,2.5344,1.6757,1.0984,0.9093,0.887,4.6941,4.578,3.8755,1.3011,5.5422,1.5892,1.2534,0.0
FRA_H51,53.7911,4.2045,0.0711,4.1606,0.0551,182.2472,31.9614,4.7514,22.3016,106.3122,85.8044,30.3174,28.8402,27.5083,29.8564,42.7105,24.3872,23.6505,35.3936,67.8765,63.8331,51.7001,75.6653,17.7866,165.9342,373.6881,30.5106,22.1167,737.9556,137.9763,6.8287,110.7569,39.1401,23.9259,58.8111,417.7246,32.2165,374.0089,222.9051,78.0171,43.4968,99.8353,53.226,44.7232,0.0
FRA_H52,117.9525,6.7445,1.941,101.6552,0.3809,2447.9686,182.6383,63.5489,552.7769,698.771,793.485,263.6648,245.5249,580.2514,685.6197,519.0889,282.598,185.5003,392.3776,549.2871,295.132,505.7578,277.9001,289.0061,2021.4745,9607.5849,7397.1563,3601.0379,890.8115,9607.9657,29.9563,1147.8938,757.6215,224.4583,537.3383,194.3076,794.2555,2471.7673,2075.6023,438.046,208.0555,349.2344,513.7789,140.2002,0.0
FRA_H53,11.3665,0.0,0.2066,1.3626,0.0352,79.9358,11.954,0.8933,26.2085,8.408,133.7161,19.453,8.2295,13.5911,12.0749,18.0006,17.2729,10.2256,21.89,20.9591,14.5342,30.1782,64.3649,25.4934,105.2571,1741.8137,46.8444,45.1798,60.7705,58.6308,939.478,146.5327,253.763,809.0404,408.1361,804.5854,64.7867,1329.4465,716.3761,1695.5171,239.2315,257.8703,209.984,169.7759,0.0
FRA_I,29.2815,1.4421,3.6734,32.0996,0.1635,397.7025,33.6493,10.5544,56.0402,83.2908,189.274,118.1634,83.7245,97.7148,146.1725,153.4102,81.73,51.0648,123.1486,100.4935,117.3423,178.4936,126.3484,134.4552,309.9959,6996.3997,692.1194,380.5577,141.6968,311.9607,51.8251,1584.2498,528.6705,306.0275,732.6241,671.5289,555.4868,2758.0368,2329.9213,300.6301,637.0239,2259.4557,545.4825,210.945,0.0
FRA_J58T60,149.6583,4.7113,0.0468,6.2822,0.0343,210.8735,15.8047,3.4735,24.5325,24.0509,87.2689,43.8585,21.3314,20.5177,27.0082,42.379,68.4009,23.9017,43.2272,30.2165,61.3097,52.9281,134.2669,72.4847,250.8147,1876.4338,78.053,57.9198,68.1269,164.0489,31.2586,136.9854,3370.3634,680.0609,1774.2154,3350.1121,463.2946,4495.0496,1760.8983,1111.2299,711.9685,554.404,892.004,422.9547,0.0
