V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T
ROW_C20,13981.9177,165.9503,3836.5888,1379.7961,577.146,2618.0153,4783.2372,745.5021,2297.2426,4873.6843,26018.1104,2160.0552,11992.253,2703.7183,2395.8176,1312.0543,707.2038,1304.8502,591.504,883.289,187.501,1311.2344,551.5739,409.3004,6024.1092,2198.0258,710.9482,144.1119,173.4392,198.4468,22.9385,488.855,493.95,104.7242,55.3863,210.6671,1119.5518,603.6936,462.2983,985.4063,853.3111,2458.1702,203.2515,1317.7055,0.0
ROW_C21,1623.9553,45.4856,297.2178,78.4411,47.7018,552.1967,293.218,94.3676,229.7395,406.4886,1112.7172,5938.5052,721.2008,352.1319,141.6736,252.3537,35.5714,102.538,104.3031,88.2503,14.0343,133.6897,51.8626,30.9246,1212.191,780.102,89.0305,37.1813,31.9338,29.364,5.6627,63.7925,57.9662,31.4238,16.7012,57.6728,192.0479,223.402,33.0338,707.9845,521.6834,7581.762,70.3249,152.1789,0.0
ROW_C22,1284.1675,159.6262,844.5595,336.4176,93.7533,3866.5984,1358.3109,145.1319,938.3055,357.7771,1554.762,750.0416,4291.5675,635.3607,272.3935,392.9232,714.5896,825.0531,739.4261,1522.1433,206.1256,1800.0687,154.7332,231.1457,6213.3025,4712.6892,6096.0664,136.4945,179.6751,232.0162,38.7263,384.733,177.8236,134.754,50.5389,208.3386,1114.0786,275.0767,207.1331,509.419,247.8915,516.6921,83.2295,457.5553,0.0
ROW_C23,728.5789,40.8152,617.6791,462.9974,151.0096,1791.9918,189.0809,120.0756,123.3203,242.4141,878.3704,485.6506,301.2244,7098.5284,603.1129,300.6821,330.7764,326.7718,241.7225,370.0052,84.6661,497.8284,232.7309,154.6602,46620.3658,1404.557,312.6528,38.112,40.8696,87.3817,10.7618,364.0525,65.218,109.7452,37.323,118.989,5638.6506,318.6922,165.9659,561.1274,403.982,319.0041,66.8876,270.1127,0.0
ROW_C24,368.1633,31.6847,2497.4413,512.7942,431.0166,787.0487,198.6751,136.6203,218.0902,348.729,841.317,172.5206,593.57,1247.633,41385.6318,14828.3614,1831.3348,6284.9442,6464.1019,5089.7781,888.6298,3000.0016,403.242,463.8088,22632.9455,1095.3432,500.4407,106.6782,93.4192,159.8079,6.9106,61.6916,85.7421,120.276,21.7978,200.4243,780.385,227.8161,78.9956,236.7706,107.7386,186.726,33.5938,272.4864,0.0
ROW_C25,782.1698,111.8412,2667.018,507.3653,309.4745,1756.8323,309.4951,189.7838,157.354,296.247,696.539,228.1937,368.1468,484.2033,1588.4124,3632.6276,603.7809,940.8124,3188.1802,2450.5025,480.6703,1637.2583,562.5286,226.6179,13358.2891,1675.381,546.0419,106.5153,70.8411,172.3568,18.1139,208.8649,114.4417,350.6885,89.4284,228.4109,2195.1881,338.0428,193.3928,1067.6124,303.1783,233.6872,97.6874,410.2476,0.0
ROW_C26,324.048,65.4041,656.7421,104.9304,69.8127,256.1431,90.1714,20.0589,90.4555,104.199,161.0313,89.6697,86.0589,135.0032,145.8361,176.1851,6255.3902,888.6839,449.0371,341.0061,85.3246,400.0231,303.8266,73.1541,1571.1709,1253.3308,208.4474,46.9149,83.5576,102.619,34.8608,117.8898,307.6396,1963.892,483.826,547.7966,104.6913,579.5282,191.0387,973.7599,674.0289,1035.3791,126.7675,917.2338,0.0
ROW_C27,401.3174,88.4699,784.9129,156.1809,129.4952,281.2154,91.6169,29.2225,68.2561,94.2819,181.9062,43.1705,90.9562,199.3842,321.3249,360.2986,1855.4767,4867.0649,1196.9864,942.8214,157.0732,816.9414,1199.3105,112.216,7251.5802,1307.3681,741.4338,76.8971,63.8551,159.4007,13.9287,196.9455,109.4872,705.6013,121.1701,194.7493,257.6235,351.8979,151.0839,515.8998,348.5325,191.4285,96.9626,649.4103,0.0
ROW_C28,1004.9161,120.8878,2904.4691,933.3929,465.1838,755.2347,294.2481,131.5383,206.7642,294.4651,316.0977,100.4022,276.9629,631.7879,631.5603,586.6635,611.6758,888.0975,5377.742,1696.2396,255.5116,765.6607,989.5721,185.2691,5127.3296,1374.1054,503.6335,120.4807,137.8926,250.5516,20.4127,136.8311,97.955,444.982,104.1977,141.356,513.6575,288.7914,250.9158,2280.2088,428.9018,338.6426,121.5489,413.8588,0.0
ROW_C29,379.321,33.1263,512.0978,184.1762,182.1489,309.128,87.1579,24.278,46.6454,123.4625,150.05,42.9875,138.1582,187.6769,399.8962,159.518,125.8887,221.8829,886.3708,23732.3594,618.4932,335.2331,148.7214,156.2197,837.5997,4135.8466,4037.9815,40.6161,90.2459,174.5259,49.7295,55.8629,39.6277,1235.8364,25.2428,111.3191,146.729,350.2769,535.5049,567.9102,288.1736,139.4419,62.4509,255.931,0.0
ROW_C30,30.3404,187.7081,181.6847,71.8987,5.5527,25.7924,10.8326,2.5943,17.9693,13.7144,24.1013,7.8645,5.4643,9.8116,11.5004,61.103,17.1908,19.4859,53.7952,225.231,1993.3753,223.9479,231.6748,8.2083,88.2225,122.6349,522.8775,750.349,640.0757,100.0594,3.1806,8.9736,4.6984,7.9814,2.5418,5.3358,23.7044,123.23,126.5126,630.4103,64.6333,15.7528,26.3615,199.6593,0.0
