V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_J62_63,0.0013,0.0155,0.0,0.0007,0.0096,0.0856,0.0022,0.0004,0.1278,0.0,0.0129,0.0642,0.0469,0.0405,0.0001,0.0276,0.0109,0.0183,0.0041,0.0,0.0268,0.2099,0.0643,0.0131,0.1728,0.4253,0.6111,0.1119,0.714,0.144,0.0648,0.3811,0.6412,2.2673,31.319,28.4961,0.0227,1.3718,0.3813,3.3101,0.5558,0.8933,783.3461,0.0722,0.0
MLT_K,0.0881,0.1547,0.0054,0.0135,0.0158,0.4337,0.0291,0.0045,0.2958,0.001,0.0293,0.2701,0.1331,0.143,0.0002,0.22,0.8144,0.0887,0.0628,0.0078,0.2251,0.4313,0.7125,0.0518,0.9062,1.6229,0.2353,0.2834,0.7484,0.3048,0.1917,1.4928,0.1356,0.5891,1.2388,707.0379,1.2285,1.2897,0.4172,0.2778,0.1519,0.3276,14.0431,0.1699,0.0
MLT_L,0.1657,0.0567,0.011,0.0291,0.0595,0.1042,0.0255,0.0088,0.6869,0.0016,0.103,0.5114,0.4407,0.3062,0.0027,0.5354,0.2702,0.1392,0.1049,0.0306,0.501,1.1487,0.7845,0.0988,2.5937,21.383,1.0834,2.1549,3.1545,2.172,3.314,20.7568,0.7501,2.926,6.1149,45.7999,6.5756,7.7545,1.9839,2.5117,1.9934,1.7157,20.2289,0.7492,0.0
MLT_M,1.5128,0.533,2.0426,3.8725,0.7135,1.6291,0.0993,0.0259,2.7869,0.0042,0.5834,3.1166,1.6409,1.4876,0.0016,0.7574,1.4326,0.2454,0.174,0.0261,0.781,8.9961,5.1557,1.2062,28.2937,12.8274,1.3619,5.7161,9.4811,6.6829,0.9409,13.8267,3.4524,10.4964,53.0327,175.9361,7.7894,66.5036,4.77,7.5091,3.0957,2.7255,321.0849,1.3081,0.0
MLT_N,0.091,1.4476,0.1029,0.0337,0.2297,0.5152,1.2398,0.0095,0.4876,0.0008,0.0673,1.0392,0.1653,0.2004,0.0008,0.2707,0.6995,0.16,0.0452,0.0047,0.1605,1.0629,1.6587,0.657,3.1494,11.1932,2.2889,2.7241,41.0146,2.0901,1.3702,7.5892,1.0528,1.0912,4.912,168.4207,1.8889,21.7432,87.5506,22.0787,3.4895,8.4852,51.2172,2.0378,0.0
MLT_O,0.0705,0.1439,0.0028,0.0106,0.0382,0.3634,0.0837,0.0038,0.3331,0.0003,0.0579,0.1792,0.0655,0.0777,0.0011,0.2328,0.5996,0.0549,0.0273,0.0081,0.1807,0.6124,1.1544,0.349,2.2926,5.4373,1.0746,0.4146,3.8947,0.9295,0.5251,3.6704,0.2365,0.6715,0.9005,35.5173,2.1724,8.1893,1.3117,10.1352,1.3818,3.0407,4.733,0.2975,0.0
MLT_P,0.0938,0.3188,0.0006,0.0023,0.0132,0.2398,0.1316,0.0206,0.7207,0.0001,0.0299,0.2774,0.0628,0.1722,0.0121,0.1251,0.2398,1.2571,0.0124,0.0011,0.1718,0.5527,1.7388,0.0341,0.5499,1.0024,0.2973,0.4002,0.1895,0.807,0.2735,0.7627,0.5382,0.3064,4.2618,18.8124,0.1044,3.457,2.5757,2.7419,5.3263,2.4287,10.43,0.6435,0.0
MLT_Q,0.4143,0.004,0.0006,0.0062,0.0077,0.1104,0.0156,0.0018,0.0569,0.0,0.011,0.006,0.0504,0.0449,0.0005,0.0477,0.0391,0.0165,0.0127,0.0044,0.0848,0.0624,0.4856,0.0575,0.343,0.5726,0.1038,0.0118,0.1209,0.5608,0.0677,0.5595,0.0237,0.0223,0.4175,3.063,0.0683,3.9921,0.7299,1.5225,0.7447,6.1567,1.7513,0.0318,0.0
MLT_R,0.0153,0.3169,0.0165,0.0158,0.027,0.193,0.0041,0.0039,0.2,0.0001,0.0221,0.0607,0.0365,0.027,0.0003,0.0274,0.0513,0.0435,0.0058,0.0007,0.0179,0.3885,0.6663,0.0931,0.6729,0.9008,1.0915,1.6092,6.0587,0.8937,0.0979,0.324,0.7522,0.6894,3.6982,4.3438,0.0498,1.7881,3.0239,0.3449,0.5421,0.9216,152.6557,0.0322,0.0
MLT_S,0.0098,0.0815,0.0107,0.0143,0.0218,0.4691,0.0301,0.0044,0.3403,0.0,0.0372,0.0345,0.0231,0.0895,0.0,0.0658,0.0081,0.0235,0.0145,0.0082,0.1079,0.3942,0.3157,0.015,0.8387,1.6999,0.2758,0.3173,1.6871,0.2802,0.6564,5.8284,0.5779,0.4159,0.5918,20.8929,0.0453,1.1486,0.9528,0.3763,0.2143,1.0508,1.9356,1.2182,0.0
MLT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
