V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_C20,182.0413,0.4351,78.8372,692.4499,35.0921,165.237,1.5631,0.4602,76.4098,3.9248,2.1479,144.6694,137.4386,30.3067,3.0065,1.5506,3.2813,2.4302,4.0483,0.5139,2.3159,11.5939,44.5522,2.0599,88.3391,16.6963,43.1971,1.3292,5.1957,5.8085,1.5458,0.977,4.975,2.6522,2.1686,1.5286,57.7577,174.0099,83.8499,15.0564,63.3322,154.2348,6.7344,8.8928,0.0
KAZ_C21,7.6601,0.0066,5.307,11.0436,0.4939,2.9797,0.0126,0.002,0.0281,0.0238,0.7532,7.6046,0.0099,0.0332,0.0968,0.0098,0.0014,0.0024,0.0044,0.0019,0.0057,0.2232,0.9291,0.023,0.4896,0.5317,0.2575,1.0665,0.1538,0.4708,4.702,0.4013,0.0405,0.4474,0.028,0.0586,0.5222,96.1087,2.044,3.575,15.8976,787.4158,16.3764,5.2817,0.0
KAZ_C22,6.6334,0.094,36.2123,15.5238,22.2726,47.4822,1.0112,1.0492,5.7605,0.8073,0.1479,14.7177,6.2645,71.4668,1.178,1.6285,0.018,0.0465,0.1475,1.0447,0.149,3.6358,27.9457,5.1306,172.1073,283.4498,144.2953,7.6282,0.3226,15.3783,2.0506,3.2273,4.7288,32.485,3.3239,7.7568,274.6285,59.1817,12.1818,2.8702,26.6692,92.1846,5.9514,2.4969,0.0
KAZ_C23,16.892,0.3159,22.2289,385.291,104.713,34.0194,0.1284,4.0819,0.1191,1.7503,0.8848,5.6717,6.9479,344.7705,10.0378,2.6763,0.0552,0.1677,0.3612,0.6331,0.2916,14.1864,96.6156,2.8127,2755.0452,29.9167,72.2316,3.1094,0.6316,110.0771,0.0918,21.614,1.0267,7.6625,0.6646,3.1996,536.1515,99.3367,79.9591,9.31,19.6954,33.8144,19.9988,1.0524,0.0
KAZ_C24,56.8957,0.4505,936.8574,1815.9764,607.0262,21.0922,7.6657,0.3468,3.5069,11.0819,7.0737,6.5116,40.8349,641.8192,1283.2035,814.461,101.5556,351.5875,353.7623,235.0298,183.9378,1073.5153,1549.9758,553.4429,7463.9523,59.2577,2093.6422,56.0846,0.139,384.2423,0.0,17.5384,1.5031,1042.4468,0.7852,450.6391,426.074,953.2659,50.6302,12.1773,2.3824,23.0686,40.9218,76.2704,0.0
KAZ_C25,5.6203,0.5127,125.4785,47.2459,10.9603,9.1884,0.1792,0.251,0.1156,2.2792,0.2268,0.0167,0.0524,44.8999,5.5964,7.6548,0.0086,0.2138,4.9035,3.3509,2.031,74.7877,93.7746,2.1108,488.2407,258.0082,59.993,0.0792,4.7282,40.8224,1.249,1.6504,1.9828,57.8028,1.5016,0.9774,50.1179,113.1968,10.5084,14.4178,14.681,11.752,7.3941,1.6765,0.0
KAZ_C26,0.2861,0.0039,13.7152,0.4175,1.948,0.189,0.01,0.0022,1.2125,0.3239,0.0512,0.0199,0.033,0.1847,0.6055,0.9262,0.9868,0.0499,0.0804,0.0841,0.7873,2.9907,24.4981,0.0563,24.118,23.0959,1.4128,0.0045,0.1387,0.7304,0.5802,0.3178,2.5093,28.1091,3.4381,3.9021,0.6794,8.3156,3.5553,2.511,10.0427,1.0933,0.8025,2.0267,0.0
KAZ_C27,0.1174,0.0241,3.3927,0.7887,1.0893,0.1261,0.2464,0.0004,0.0786,0.1251,0.0179,0.0018,0.0141,0.3273,0.171,0.8575,2.7557,0.0472,0.0152,0.0068,0.1609,6.2978,6.4111,0.1236,92.8738,84.6002,28.2898,0.0129,0.0624,1.9147,0.0014,0.8234,3.4031,9.9057,3.2114,25.6066,3.5556,7.6626,90.285,2.7303,11.0701,19.1556,5.4178,9.5284,0.0
KAZ_C28,19.4214,0.0769,72.7968,59.1918,18.041,1.4859,1.0653,0.012,0.4812,0.3439,0.0476,0.0137,0.0879,3.4214,1.5731,1.4291,0.0102,0.192,1.8723,0.2037,0.2499,18.0261,6.8532,0.1948,23.2266,39.6591,71.5232,0.2805,2.5053,5.1483,0.0836,0.1767,0.8774,3.3656,0.6653,0.6386,9.6786,19.2733,8.7068,0.3036,8.3248,7.4737,1.1155,0.6951,0.0
KAZ_C29,0.3689,0.4477,1.1726,0.4201,0.0941,0.2308,0.0029,0.0049,0.0166,0.0115,0.0001,0.004,0.0002,0.0761,0.022,0.0006,0.0001,0.5832,2.5187,7.5816,2.4628,0.1491,0.0786,0.016,77.7199,127.8273,65.5854,0.07,0.0856,0.7566,0.0804,0.0312,0.0186,6.2478,0.0156,2.5726,0.8709,0.9653,16.3486,2.9536,0.0088,29.8509,0.3726,0.0039,0.0
KAZ_C30,0.0548,0.0,1.2382,0.1304,0.0424,0.0036,0.0,0.0,0.0026,0.0,0.0,0.0138,0.0,0.0001,0.1212,0.0109,0.0,0.0012,0.0006,2.396,48.3489,0.079,0.0001,0.0007,3.5985,0.0,13.2633,4.2412,37.0615,2.806,0.0,0.0195,0.0021,0.016,0.0013,0.0,0.0021,5.4586,13.8576,0.9979,0.0328,0.4949,0.1016,0.0582,0.0
KAZ_C31T33,24.8384,0.0874,363.6878,10.6382,28.1645,2.0202,1.6263,0.1242,0.5526,1.2232,0.1804,0.1028,0.2229,2.5616,4.7859,0.8492,0.7651,0.0585,0.1577,0.6365,2.8636,1.9968,197.4596,6.7695,71.9486,1171.4981,349.2574,25.8374,19.4487,123.1904,0.3806,9.241,3.3278,198.0562,2.4755,13.3367,29.6149,183.4687,299.409,169.5478,15.4274,48.2718,29.4604,1.3031,0.0
KAZ_D,28.0015,16.4525,775.1771,134.1632,4.2103,70.8298,0.7072,0.6564,10.1985,5.7928,1.3784,1.1039,0.4515,38.7079,9.0494,0.4789,0.1348,0.2196,0.4034,1.8171,1.0044,27.468,795.466,69.2882,440.2459,2659.15,501.8624,0.4179,3.4039,223.7082,8.2266,27.7432,106.3667,434.0779,88.8657,48.8161,1015.5513,79.9411,197.391,553.522,526.0192,1274.6999,100.4055,986.9245,0.0
